sex,height,weight,age,years_cl,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_last,country_AUS,country_AUT,country_BEL,country_BRA,country_CAN,country_CHE,country_CZE,country_DEU,country_DNK,country_ESP,country_FIN,country_FRA,country_GBR,country_HRV,country_ITA,country_MEX,country_NLD,country_NOR,country_POL,country_PRT,country_RUS,country_SVN,country_SWE,country_USA,country_ZAF,country_other
0,173,68,38.0,20,2014-04-23 22:00:00,438,59,53,68,54.67579908675799,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,83,47.0,14,2009-07-10 22:00:00,20,41,45,49,42.45,2009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,183,78,43.0,13,2006-12-16 23:00:00,13,36,36,36,33.30769230769231,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,181,68,33.0,13,2011-05-22 22:00:00,55,39,49,62,50.89090909090909,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,173,58,26.0,14,2017-08-29 22:00:00,483,51,70,72,56.21532091097309,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,171,63,41.0,23,2017-09-09 22:00:00,201,62,64,74,64.57213930348259,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,174,63,32.0,16,2010-06-04 22:00:00,48,53,42,62,47.35416666666666,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,177,73,41.0,12,2009-09-07 22:00:00,14,36,31,40,34.214285714285715,2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180,68,40.0,13,2009-06-20 22:00:00,38,35,40,44,36.078947368421055,2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,166,43,25.0,15,2012-04-15 22:00:00,5,64,55,64,58.4,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,182,78,31.0,14,2017-05-05 22:00:00,169,48,36,67,45.23076923076923,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,179,63,38.0,17,2010-06-26 22:00:00,81,52,40,66,45.60493827160494,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,188,73,36.0,14,2016-09-30 22:00:00,12,38,57,59,47.41666666666666,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180,73,38.0,12,2017-08-24 22:00:00,184,35,33,62,46.255434782608695,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,173,73,46.0,18,2010-06-08 22:00:00,35,51,52,57,50.85714285714285,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,168,78,29.0,13,2009-10-29 23:00:00,17,33,31,38,32.88235294117647,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,190,88,37.0,23,2017-09-10 22:00:00,270,62,57,68,57.15555555555556,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,192,78,33.0,14,2017-08-14 22:00:00,273,55,62,66,49.71062271062271,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,176,73,49.0,12,2017-03-24 23:00:00,44,33,38,46,34.38636363636363,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,190,93,45.0,17,2006-09-14 22:00:00,17,33,38,38,34.94117647058823,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,175,68,42.0,25,2010-12-29 23:00:00,89,49,44,53,42.51685393258427,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,181,73,38.0,17,2010-07-29 22:00:00,52,49,55,61,45.65384615384615,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,195,83,37.0,16,2013-12-01 23:00:00,55,53,46,55,41.0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
